timestamp,phase,replicas
2026-06-24T21:21:00Z,scale_up,
2026-06-24T21:21:01Z,scale_up,
2026-06-24T21:21:02Z,scale_up,
2026-06-24T21:21:03Z,scale_up,
2026-06-24T21:21:04Z,scale_up,
2026-06-24T21:21:05Z,scale_up,
2026-06-24T21:21:07Z,scale_up,
2026-06-24T21:21:08Z,scale_up,
2026-06-24T21:21:09Z,scale_up,
2026-06-24T21:21:10Z,scale_up,
2026-06-24T21:21:11Z,scale_up,
2026-06-24T21:21:12Z,scale_up,
2026-06-24T21:21:13Z,scale_up,
2026-06-24T21:21:14Z,scale_up,
2026-06-24T21:21:15Z,scale_up,
2026-06-24T21:21:16Z,scale_up,
2026-06-24T21:21:17Z,scale_up,
2026-06-24T21:21:18Z,scale_up,
2026-06-24T21:21:19Z,scale_up,
2026-06-24T21:21:21Z,scale_up,
2026-06-24T21:21:22Z,scale_up,
2026-06-24T21:21:23Z,scale_up,
2026-06-24T21:21:24Z,scale_up,
2026-06-24T21:21:25Z,scale_up,3
2026-06-24T21:21:26Z,scale_up,3
2026-06-24T21:21:27Z,scale_up,3
2026-06-24T21:21:28Z,scale_up,3
2026-06-24T21:21:29Z,scale_up,3
2026-06-24T21:21:30Z,scale_up,3
2026-06-24T21:21:31Z,scale_up,3
2026-06-24T21:21:32Z,scale_up,3
2026-06-24T21:21:33Z,scale_up,3
2026-06-24T21:21:35Z,scale_up,3
2026-06-24T21:21:36Z,scale_up,3
2026-06-24T21:21:37Z,scale_up,3
2026-06-24T21:21:38Z,scale_up,3
2026-06-24T21:21:39Z,scale_up,3
2026-06-24T21:21:40Z,scale_up,3
2026-06-24T21:21:41Z,scale_up,3
2026-06-24T21:21:42Z,scale_up,3
2026-06-24T21:21:43Z,scale_up,3
2026-06-24T21:21:44Z,scale_up,3
2026-06-24T21:21:45Z,scale_up,3
2026-06-24T21:21:46Z,scale_up,3
2026-06-24T21:21:48Z,scale_up,3
2026-06-24T21:21:49Z,scale_up,3
2026-06-24T21:21:50Z,scale_up,3
2026-06-24T21:21:51Z,scale_up,3
2026-06-24T21:21:52Z,scale_up,3
2026-06-24T21:21:53Z,scale_up,3
2026-06-24T21:21:54Z,scale_up,3
2026-06-24T21:21:55Z,scale_up,3
2026-06-24T21:21:56Z,scale_up,3
2026-06-24T21:21:57Z,scale_up,3
2026-06-24T21:21:58Z,scale_up,3
2026-06-24T21:21:59Z,scale_up,3
2026-06-24T21:22:04Z,scale_down,3
2026-06-24T21:22:05Z,scale_down,3
2026-06-24T21:22:06Z,scale_down,3
2026-06-24T21:22:07Z,scale_down,3
2026-06-24T21:22:08Z,scale_down,3
2026-06-24T21:22:09Z,scale_down,3
2026-06-24T21:22:10Z,scale_down,3
2026-06-24T21:22:12Z,scale_down,3
2026-06-24T21:22:13Z,scale_down,3
2026-06-24T21:22:14Z,scale_down,3
2026-06-24T21:22:15Z,scale_down,3
2026-06-24T21:22:16Z,scale_down,3
2026-06-24T21:22:17Z,scale_down,3
2026-06-24T21:22:18Z,scale_down,3
2026-06-24T21:22:19Z,scale_down,3
2026-06-24T21:22:20Z,scale_down,3
2026-06-24T21:22:21Z,scale_down,3
2026-06-24T21:22:22Z,scale_down,3
2026-06-24T21:22:23Z,scale_down,3
2026-06-24T21:22:25Z,scale_down,3
2026-06-24T21:22:26Z,scale_down,3
2026-06-24T21:22:27Z,scale_down,3
2026-06-24T21:22:28Z,scale_down,3
2026-06-24T21:22:29Z,scale_down,3
2026-06-24T21:22:30Z,scale_down,3
2026-06-24T21:22:31Z,scale_down,3
2026-06-24T21:22:32Z,scale_down,3
2026-06-24T21:22:33Z,scale_down,3
2026-06-24T21:22:34Z,scale_down,3
2026-06-24T21:22:35Z,scale_down,3
2026-06-24T21:22:36Z,scale_down,3
2026-06-24T21:22:38Z,scale_down,3
2026-06-24T21:22:39Z,scale_down,3
2026-06-24T21:22:40Z,scale_down,3
2026-06-24T21:22:41Z,scale_down,3
2026-06-24T21:22:42Z,scale_down,3
2026-06-24T21:22:43Z,scale_down,3
2026-06-24T21:22:44Z,scale_down,3
2026-06-24T21:22:45Z,scale_down,3
2026-06-24T21:22:46Z,scale_down,3
2026-06-24T21:22:47Z,scale_down,3
2026-06-24T21:22:48Z,scale_down,3
2026-06-24T21:22:49Z,scale_down,3
2026-06-24T21:22:51Z,scale_down,3
2026-06-24T21:22:52Z,scale_down,3
2026-06-24T21:22:53Z,scale_down,3
2026-06-24T21:22:54Z,scale_down,3
2026-06-24T21:22:55Z,scale_down,3
2026-06-24T21:22:56Z,scale_down,3
2026-06-24T21:22:57Z,scale_down,3
2026-06-24T21:22:58Z,scale_down,3
2026-06-24T21:22:59Z,scale_down,3
2026-06-24T21:23:00Z,scale_down,3
2026-06-24T21:23:01Z,scale_down,3
2026-06-24T21:23:02Z,scale_down,3
2026-06-24T21:23:03Z,scale_down,3
2026-06-24T21:23:05Z,scale_down,3
2026-06-24T21:23:06Z,scale_down,3
2026-06-24T21:23:07Z,scale_down,3
2026-06-24T21:23:08Z,scale_down,3
2026-06-24T21:23:09Z,scale_down,3
2026-06-24T21:23:10Z,scale_down,3
2026-06-24T21:23:11Z,scale_down,3
2026-06-24T21:23:12Z,scale_down,3
2026-06-24T21:23:13Z,scale_down,3
2026-06-24T21:23:14Z,scale_down,3
2026-06-24T21:23:15Z,scale_down,3
2026-06-24T21:23:16Z,scale_down,3
2026-06-24T21:23:18Z,scale_down,3
2026-06-24T21:23:19Z,scale_down,3
2026-06-24T21:23:20Z,scale_down,3
2026-06-24T21:23:21Z,scale_down,3
2026-06-24T21:23:22Z,scale_down,3
2026-06-24T21:23:23Z,scale_down,3
2026-06-24T21:23:24Z,scale_down,3
2026-06-24T21:23:25Z,scale_down,
2026-06-24T21:23:26Z,scale_down,
2026-06-24T21:23:27Z,scale_down,
2026-06-24T21:23:28Z,scale_down,
2026-06-24T21:23:29Z,scale_down,
2026-06-24T21:23:30Z,scale_down,
2026-06-24T21:23:32Z,scale_down,
2026-06-24T21:23:33Z,scale_down,
